source,type,target,weight
model:ef6278cd80da,MADE_BY,brand:3813242ef420,1419
model:82b8d910be5d,MADE_BY,brand:6c4b0225d5ad,1205
model:d54acdbebd18,MADE_BY,brand:78b4a6ff85ce,1154
model:af8fa40b6d46,MADE_BY,brand:482c3c40bdbb,874
model:a86af0e31918,MADE_BY,brand:e58bcb317fcd,615
model:0de2af487c4b,MADE_BY,brand:78b4a6ff85ce,612
model:12a3d2539eba,MADE_BY,brand:78b4a6ff85ce,612
model:c3d76bccc287,MADE_BY,brand:78b4a6ff85ce,612
model:6b9ca16233ee,MADE_BY,brand:78b4a6ff85ce,575
model:1742691e94e2,MADE_BY,brand:3813242ef420,508
model:ac7e9669a18b,MADE_BY,brand:bd653aa0a90d,462
model:3cc8131545e8,MADE_BY,brand:bd653aa0a90d,395
model:0ead9a1d13ef,MADE_BY,brand:6c4b0225d5ad,332
model:45f68a6b221a,MADE_BY,brand:bd653aa0a90d,319
model:2e4324b15d27,MADE_BY,brand:bd653aa0a90d,312
model:0513bafa3096,MADE_BY,brand:bd653aa0a90d,308
model:e24ed3d61944,MADE_BY,brand:b015efa6512f,267
model:6fd7012408d3,MADE_BY,brand:bd653aa0a90d,255
model:cbe81856acaf,MADE_BY,brand:bd653aa0a90d,208
model:a61690aadc32,MADE_BY,brand:bd653aa0a90d,192
model:64b487ce8fa6,MADE_BY,brand:1eef105986fe,183
model:b9de6b3d98a7,MADE_BY,brand:bd653aa0a90d,114
model:2a091ea696c4,MADE_BY,brand:ea2bb029f97b,111
model:3a25a7e01df2,MADE_BY,brand:1eef105986fe,108
model:0e6dccb46585,MADE_BY,brand:bd653aa0a90d,46
model:f3d0697c34e3,MADE_BY,brand:bd653aa0a90d,41
model:2df1a7d26e2d,MADE_BY,brand:bd653aa0a90d,25
fault_code:5b384ce32d8c,OCCURS_AT_SITE,site:80f2f4bc6324,12
fault_code:310b86e0b62b,OCCURS_AT_SITE,site:80f2f4bc6324,11
fault_code:40f7c01f4189,OCCURS_AT_SITE,site:80f2f4bc6324,11
fault_code:56ad4d4deaec,OCCURS_AT_SITE,site:80f2f4bc6324,11
fault_code:7224f997fc14,OCCURS_AT_SITE,site:80f2f4bc6324,11
fault_code:761f22b2c159,OCCURS_AT_SITE,site:80f2f4bc6324,11
fault_code:92cfceb39d57,OCCURS_AT_SITE,site:80f2f4bc6324,11
fault_code:98fbc42faedc,OCCURS_AT_SITE,site:80f2f4bc6324,11
fault_code:9e071a3a594a,OCCURS_AT_SITE,site:80f2f4bc6324,11
fault_code:b7eb6c689c03,OCCURS_AT_SITE,site:80f2f4bc6324,11
fault_code:c8306ae139ac,OCCURS_AT_SITE,site:80f2f4bc6324,11
fault_code:ca3512f4dfa9,OCCURS_AT_SITE,site:80f2f4bc6324,11
fault_code:e1822db470e6,OCCURS_AT_SITE,site:80f2f4bc6324,11
fault_code:2a459380709e,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:2a7541babb57,OCCURS_AT_SITE,site:80f2f4bc6324,10
